BIN_LEFT,BIN_RIGHT,COUNT,H_WINS,DRAWS,A_WINS
-4.253814628729771,-1.1390693176024305,51,0.17647058823529413,0.1568627450980392,0.6666666666666666
-1.1390693176024305,-0.9798199874413818,38,0.07894736842105263,0.18421052631578946,0.7368421052631579
-0.9798199874413818,-0.8205706572803331,46,0.1956521739130435,0.391304347826087,0.41304347826086957
-0.8205706572803331,-0.6613213271192844,59,0.22033898305084745,0.1864406779661017,0.5932203389830508
-0.6613213271192844,-0.5020719969582357,84,0.30952380952380953,0.23809523809523808,0.4523809523809524
-0.5020719969582357,-0.3428226667971872,107,0.34579439252336447,0.205607476635514,0.4485981308411215
-0.3428226667971872,-0.1835733366361385,143,0.36363636363636365,0.22377622377622378,0.4125874125874126
-0.1835733366361385,-0.02432400647508981,183,0.37158469945355194,0.28415300546448086,0.3442622950819672
-0.02432400647508981,0.1349253236859589,200,0.445,0.26,0.295
0.1349253236859589,0.2941746538470076,160,0.39375,0.31875,0.2875
0.2941746538470076,0.4534239840080563,137,0.5620437956204379,0.20437956204379562,0.23357664233576642
0.4534239840080563,0.612673314169105,107,0.5700934579439252,0.24299065420560748,0.18691588785046728
0.612673314169105,0.7719226443301537,83,0.5421686746987951,0.27710843373493976,0.18072289156626506
0.7719226443301537,0.9311719744912024,83,0.6867469879518072,0.21686746987951808,0.0963855421686747
0.9311719744912024,1.090421304652251,66,0.7272727272727273,0.16666666666666666,0.10606060606060606
1.090421304652251,1.2496706348132998,34,0.7058823529411765,0.20588235294117646,0.08823529411764706
1.2496706348132998,1.4089199649743485,26,0.6538461538461539,0.23076923076923078,0.11538461538461539
1.4089199649743485,1.5681692951353967,34,0.7058823529411765,0.14705882352941177,0.14705882352941177
