HomeTeam,AwayTeam,FTHG,FTAG,HST,AST,HC,AC,B365>2.5,B365<2.5,Season,P>2.5,P<2.5,RATING_H_DEF,RATING_H_OFF,RATING_A_DEF,RATING_A_OFF
Wolves,Newcastle,1,1,3,2,2,3,2.2,1.66,2020-21,0.435535452262962,0.564464547737038,6.723653237076236,7.963421424161818,6.1059572437286525,5.582111380860136
Arsenal,Leicester,0,1,4,2,9,3,1.72,2.1,2020-21,0.5699309985869373,0.4300690014130627,8.107166367656252,10.1704853570606,8.995979059677015,10.929257532353581
Brighton,West Brom,1,1,3,3,6,2,1.8,2.0,2020-21,0.5157114318512415,0.48428856814875854,7.2970379873077595,7.73251523563769,6.693703989169619,8.294073955865121
Burnley,Tottenham,0,1,4,3,4,5,1.9,1.9,2020-21,0.5180696377670675,0.4819303622329325,14.546928876530222,4.345635349404876,13.975516576815501,6.050105335440286
Wolves,Crystal Palace,2,0,5,2,7,6,2.75,1.44,2020-21,0.3474822098812462,0.6525177901187538,6.938998588816654,9.097687062094037,6.4660959632243395,6.401185661980491
Sheffield United,Man City,0,1,1,8,2,5,1.5,2.62,2020-21,0.6555512934822508,0.34444870651774917,11.29779988953195,4.370627279603432,10.25654434357173,7.079705802446537
Burnley,Chelsea,0,3,0,9,3,4,1.66,2.2,2020-21,0.5922387739210592,0.40776122607894083,14.305648754209182,2.938325697543911,13.64731230675024,5.26363355624286
Liverpool,West Ham,2,1,5,3,1,2,1.4,3.0,2020-21,0.6911993061477805,0.30880069385221953,3.611309046386298,19.556007602906146,4.140409177552335,16.78796067452547
Aston Villa,Southampton,3,4,10,4,11,1,1.66,2.2,2020-21,0.5850012968382745,0.4149987031617255,7.374262842156385,13.502356952311873,7.607866695008194,14.331779332700425
Newcastle,Everton,2,1,4,4,5,4,1.8,2.0,2020-21,0.5345100660986831,0.4654899339013169,13.354577928971768,3.1364766931717813,13.427482082243976,5.065900626175387
Man United,Arsenal,0,1,2,2,6,3,1.72,2.1,2020-21,0.5663075770619438,0.4336924229380562,6.097113263977315,12.574015177458989,6.031523279515888,11.355636700197966
Tottenham,Brighton,2,1,3,2,4,5,1.66,2.2,2020-21,0.5780879234975218,0.4219120765024782,9.006314681471743,9.115414814501563,9.056152454556255,9.712408971852941
Fulham,West Brom,2,0,6,1,5,2,2.0,1.8,2020-21,0.4596309836514359,0.5403690163485642,7.38043794927233,6.257362133373218,6.763540824437648,4.248133393231166
Leeds,Leicester,1,4,4,8,10,3,1.72,2.1,2020-21,0.5609392736545896,0.4390607263454104,5.763647710769958,11.566699132971811,4.519135934872013,10.069657552593961
Brighton,Burnley,0,0,3,1,5,3,2.1,1.72,2020-21,0.451087351469355,0.548912648530645,6.453422449997144,7.607046393579945,6.276230458724592,7.263701529951892
Southampton,Newcastle,2,0,8,2,8,3,1.8,2.0,2020-21,0.5382603687399665,0.4617396312600335,10.901185856932393,9.908000724049472,10.708593087013448,10.062622806078565
Everton,Man United,1,3,1,5,5,2,1.72,2.1,2020-21,0.5622996818533921,0.4377003181466079,9.878416460634565,6.214235492563096,9.320106761616094,7.472470527674671
Crystal Palace,Leeds,4,1,6,3,3,6,1.9,1.9,2020-21,0.5078285651891292,0.4921714348108708,10.967724244403458,6.829379532521292,11.280877683540785,8.072396325076157
Chelsea,Sheffield United,4,1,9,3,6,7,1.72,2.1,2020-21,0.5638706363440451,0.4361293636559549,7.372028065941626,15.772788232411006,7.195186786515493,13.92494184094696
West Ham,Fulham,1,0,7,3,9,5,1.8,2.0,2020-21,0.5195141801646536,0.48048581983534644,6.894380758122502,9.497833075425316,7.0600201176027415,10.298609102937036
West Brom,Tottenham,0,1,2,5,9,6,1.72,2.1,2020-21,0.5498929895400742,0.45010701045992585,9.725977190899258,3.785921940230476,9.087094933853445,2.5927707686789416
Leicester,Wolves,1,0,3,2,6,3,2.3,1.61,2020-21,0.42532138693036076,0.5746786130696393,8.65306585669115,12.577872993639666,8.602854685781534,11.777449584021372
Man City,Liverpool,1,1,2,3,1,2,1.44,2.75,2020-21,0.6873169558748072,0.31268304412519277,2.5281390199207205,19.31189993356129,2.343287618890676,16.09735240279354
Arsenal,Aston Villa,0,3,2,6,3,8,1.66,2.2,2020-21,0.5850454968010216,0.4149545031989784,8.191172385565466,8.42906776564039,9.160162920830908,9.346437898503961
Newcastle,Chelsea,0,2,1,3,7,4,1.66,2.2,2020-21,0.5902660103296008,0.4097339896703992,12.93171676580803,2.500678787856891,12.653389042310671,4.849746026631729
Aston Villa,Brighton,1,2,4,3,12,3,1.72,2.1,2020-21,0.559457057541441,0.44054294245855896,6.350595151080738,15.477545958866946,6.581661066759228,16.069592656847586
Tottenham,Man City,2,0,2,5,0,10,1.57,2.37,2020-21,0.6249162104099765,0.37508378959002353,10.691456260075766,7.824115522094056,10.25264148692782,9.09190944891762
Man United,West Brom,1,0,7,2,8,2,1.66,2.2,2020-21,0.5718373795036724,0.4281626204963276,5.922561295739698,12.942248015264678,5.68910423965113,11.582478961515067
Fulham,Everton,2,3,6,7,2,5,1.72,2.1,2020-21,0.5541305779994034,0.44586942200059665,10.274655557846627,6.733489596646312,9.404137643295337,4.9313875731645815
Sheffield United,West Ham,0,1,5,3,2,6,2.1,1.72,2020-21,0.45542818724283013,0.5445718127571699,11.314557508694769,5.2443893584543835,10.633931427251497,7.635451493985522
Leeds,Arsenal,0,0,4,2,5,3,1.66,2.2,2020-21,0.5776536185178737,0.42234638148212633,5.753377568028074,11.133935210442269,4.727002016840275,9.739202686792586
Liverpool,Leicester,3,0,13,4,10,3,1.57,2.37,2020-21,0.6224446511693672,0.3775553488306328,1.3908169023300365,20.8470687830331,2.450599339585131,18.04446016162247
Burnley,Crystal Palace,1,0,4,5,4,7,2.5,1.53,2020-21,0.384501295201487,0.615498704798513,13.880856465661335,2.7878006555180015,13.529731646824263,4.868568392518614
Wolves,Southampton,1,1,9,2,7,4,2.2,1.66,2020-21,0.4383795166712144,0.5616204833287857,6.147228476943627,10.049770328717699,5.972189250315777,7.459510800701165
Crystal Palace,Newcastle,0,2,3,7,7,3,2.37,1.57,2020-21,0.4044798223970192,0.5955201776029808,11.689038724060493,7.485908938817336,11.930304953864244,8.169675963506862
Brighton,Liverpool,1,1,3,2,4,3,1.57,2.37,2020-21,0.6165790193561744,0.38342098064382557,6.0176497375993065,7.234699695024405,5.408166987044918,7.670928899184167
Man City,Burnley,5,0,6,1,6,4,1.44,2.75,2020-21,0.6681525756714136,0.3318474243285864,1.9456452129358932,19.72636936641762,2.1243411894457567,15.782039453612535
Everton,Leeds,0,1,8,7,4,2,1.61,2.3,2020-21,0.5955023361363675,0.4044976638636325,9.63962541111951,8.17096596084037,9.226151493763801,9.240777488525744
West Brom,Sheffield United,1,0,6,5,14,9,2.3,1.61,2020-21,0.4105255432454057,0.5894744567545943,11.887181607029234,6.5894617785233915,11.4547877272574,5.314563245990612
Southampton,Man United,2,3,5,6,5,9,1.8,2.0,2020-21,0.5464491118085268,0.45355088819147316,13.166648896310958,9.19512129758536,12.747736064406102,10.06972868816819
Chelsea,Tottenham,0,0,3,1,3,3,1.72,2.1,2020-21,0.5705636993930496,0.42943630060695037,7.0538020466571005,12.730041760812847,6.838009042597868,11.302644771844035
Arsenal,Wolves,1,2,2,5,8,4,2.3,1.61,2020-21,0.41310710105870146,0.5868928989412985,8.341164274295627,8.333745329588355,8.952900371155785,9.31708070356485
Leicester,Fulham,1,2,3,5,6,5,1.72,2.1,2020-21,0.5706309474029302,0.4293690525970698,11.47866887733041,11.84624767535433,11.00972116904536,11.42968606210984
West Ham,Aston Villa,2,1,2,6,3,7,1.72,2.1,2020-21,0.5659837150382779,0.43401628496172207,7.412181498396764,8.500194329479157,7.361048614577638,9.231803379490485
Burnley,Everton,1,1,3,6,8,4,2.0,1.8,2020-21,0.4791428460006232,0.5208571539993768,12.52680736540362,4.118150891080786,12.820575396874023,5.982330022587664
Man City,Fulham,2,0,6,1,9,3,1.3,3.5,2020-21,0.730452991119751,0.26954700888024896,2.028180982564999,20.65717305743746,2.0005042745138337,16.262098702009673
West Ham,Man United,1,3,6,6,5,4,1.72,2.1,2020-21,0.561626918076473,0.438373081923527,7.460125173123061,9.201357021651935,7.266428800721575,9.898592073837108
Chelsea,Leeds,3,1,11,3,8,4,1.5,2.62,2020-21,0.6440157848437114,0.35598421515628864,6.752351244406355,14.83532056609808,6.4500278114930305,13.38770604763009
West Brom,Crystal Palace,1,5,4,6,4,6,2.2,1.66,2020-21,0.4425784767387376,0.5574215232612624,12.337563392180172,6.355969644222616,11.992495544890312,5.20789942501161
Sheffield United,Leicester,1,2,1,4,6,5,2.0,1.8,2020-21,0.5002555483305116,0.49974445166948844,13.478842798305427,6.090391483891212,12.526531614736314,7.9368505610232045
Tottenham,Arsenal,2,0,3,2,3,9,1.9,1.9,2020-21,0.5020662566344316,0.4979337433655684,9.571297613364038,6.447571767966758,9.666927256014905,7.702599895290665
Liverpool,Wolves,4,0,6,3,4,6,1.72,2.1,2020-21,0.5646282172613676,0.4353717827386324,2.9793046883025784,18.459076499602965,3.4438761302185688,16.12168135602296
Brighton,Southampton,1,2,4,3,4,3,1.9,1.9,2020-21,0.5078416334372412,0.4921583665627588,5.550793461186569,7.618148105465129,5.131486904866128,7.15678629350115
Leeds,West Ham,1,2,7,8,5,6,1.57,2.37,2020-21,0.6145567912887201,0.3854432087112799,10.299182329987756,11.024491732609432,9.045620113209084,10.091552904239272
Wolves,Aston Villa,0,1,7,2,5,8,2.0,1.8,2020-21,0.4877855739494334,0.5122144260505666,5.900823112502445,11.374393918761134,5.973911543245477,9.562779676048047
Newcastle,West Brom,2,1,7,3,4,3,2.2,1.66,2020-21,0.4369937824677712,0.5630062175322288,12.20275314244072,3.965196617312839,11.824199613768164,5.706220360422376
Man United,Man City,0,0,2,2,4,3,1.61,2.3,2020-21,0.6136879289474043,0.3863120710525957,5.7926200507900365,12.480929942754877,4.952148235193438,11.97170483750155
Everton,Chelsea,1,0,4,3,6,6,1.61,2.3,2020-21,0.6077003931095987,0.39229960689040133,10.022757408281763,8.263463421975532,9.248484537933745,9.49045789747882
Southampton,Sheffield United,3,0,6,0,8,4,2.01,1.89,2020-21,0.4909584344542799,0.5090415655457201,11.195454526282418,9.656147717474967,11.205746585702457,10.181976194879745
Crystal Palace,Tottenham,1,1,5,6,4,7,1.9,1.9,2020-21,0.5076759587127174,0.4923240412872826,12.198185536944798,7.883658578208851,12.630488477553765,8.545326423123607
Fulham,Liverpool,1,1,5,6,6,8,1.4,3.0,2020-21,0.6859335437375573,0.3140664562624427,10.011485951763405,7.528689245083939,9.583144582767527,6.850416015983985
Arsenal,Burnley,0,1,6,2,13,4,1.9,1.9,2020-21,0.5034963110027356,0.4965036889972644,7.7245240757039495,11.240016362708316,8.385601566680695,11.344301469433875
Leicester,Brighton,3,0,6,4,9,5,1.9,1.9,2020-21,0.5068152973086749,0.4931847026913251,10.946572542123336,11.956530672986704,10.449425035480957,12.124845751637984
Wolves,Chelsea,2,1,4,3,5,6,2.0,1.8,2020-21,0.4884936139286593,0.5115063860713407,5.8225666643442455,11.4488298171962,5.763403327344862,9.67442990861812
Man City,West Brom,1,1,7,1,13,2,1.36,3.2,2020-21,0.7043478592349113,0.2956521407650887,1.5840625938118345,20.779902433376733,1.6443971919073233,16.189419245915108
Arsenal,Southampton,1,1,4,3,2,7,1.8,2.0,2020-21,0.5446060063211373,0.4553939936788627,7.96364152129815,10.369025908431432,8.593726411011346,10.224125662453151
Leeds,Newcastle,5,2,10,4,7,4,1.72,2.1,2020-21,0.5647268012338884,0.4352731987661116,10.2985652400918,12.615549627691887,9.363313500272485,11.335645763292076
Leicester,Everton,0,2,2,6,4,6,1.72,2.1,2020-21,0.5720743674710567,0.42792563252894333,11.353531362342418,10.767972817921237,11.011344537334024,11.046348340198554
Fulham,Brighton,0,0,4,4,1,8,2.0,1.8,2020-21,0.47569422992350796,0.524305770076492,10.793115641015444,6.716382697100572,10.306696079165068,6.420952566748834
Liverpool,Tottenham,2,1,11,2,7,4,1.66,2.2,2020-21,0.589408137626009,0.41059186237399103,4.359047684490715,19.915728428071866,4.728997945608782,17.39895764996594
West Ham,Crystal Palace,1,1,2,2,5,3,1.9,1.9,2020-21,0.5143358998602527,0.48566410013974726,7.439581135981237,10.012449975190826,7.37316390771599,9.815700512071606
Aston Villa,Burnley,0,0,7,4,11,1,1.9,1.9,2020-21,0.5184751378177818,0.48152486218221824,6.34546446444761,17.189660758184466,6.784746396244726,16.668391970858952
Sheffield United,Man United,2,3,6,8,6,3,1.8,2.0,2020-21,0.5394736345188735,0.46052636548112647,13.693106496029829,5.518276109783343,12.719612173492628,7.918864073422572
Crystal Palace,Liverpool,0,7,3,8,5,4,1.61,2.3,2020-21,0.6120065241278273,0.3879934758721727,10.617907643537695,6.839952116753628,10.892378354502881,8.27782132490026
Southampton,Man City,0,1,3,5,6,6,1.57,2.37,2020-21,0.6257393429194065,0.37426065708059353,9.455312690356639,9.659427601311373,9.213049377058574,11.029352738256872
Everton,Arsenal,2,1,2,2,4,3,1.8,2.0,2020-21,0.5370260634886795,0.46297393651132046,7.776464497876336,8.309676778976531,7.398800154898679,9.225348015398165
Newcastle,Fulham,1,1,5,4,2,9,2.1,1.72,2020-21,0.4587659985147773,0.5412340014852227,14.206716906824166,3.9467418563168857,13.683853438086977,5.440111453586775
Brighton,Sheffield United,1,1,5,3,14,2,2.2,1.66,2020-21,0.43582210968409707,0.5641778903159029,6.098053249213278,11.105929764018343,6.018003676717306,9.573372807709744
Tottenham,Leicester,0,2,3,4,5,3,1.8,2.0,2020-21,0.5451209887312747,0.4548790112687253,9.706255197998445,7.144566226818962,9.848162194757005,7.911756403117148
Man United,Leeds,6,2,14,3,11,13,1.5,2.62,2020-21,0.6527049369256839,0.3472950630743161,8.934129315737191,15.675220697286546,7.576569660871457,14.553579225992223
West Brom,Aston Villa,0,3,1,10,1,7,1.72,2.1,2020-21,0.5757106040270902,0.4242893959729098,14.498772821986828,3.635566702765296,14.039833016444067,3.84705141286729
Burnley,Wolves,2,1,4,3,1,7,2.5,1.53,2020-21,0.38886799440458114,0.6111320055954188,14.69001617246589,2.9265508480296805,14.226344067529944,5.407345563156617
Chelsea,West Ham,3,0,7,0,5,4,1.57,2.37,2020-21,0.6187482116823915,0.38125178831760853,6.253555512713408,14.129678280777194,6.084607455971005,13.125160222771214
Leicester,Man United,2,2,2,4,5,0,1.66,2.2,2020-21,0.6003168013107667,0.3996831986892333,9.014130536289255,9.11865270680965,8.73296952197378,9.737710189831535
Aston Villa,Crystal Palace,3,0,10,6,4,4,1.72,2.1,2020-21,0.5705736811861886,0.42942631881381144,6.129211292733165,18.06681534485597,6.811816259323999,17.02659135323118
Fulham,Southampton,0,0,1,2,6,3,1.9,1.9,2020-21,0.5111536712141284,0.48884632878587164,9.321782639480958,7.069322462980036,9.069823000963154,6.756997432485264
Arsenal,Chelsea,3,1,7,3,7,9,1.95,1.95,2020-21,0.49768517817783064,0.5023148218221694,7.771034825809645,10.536799352530373,8.161187963321861,10.651316320467346
Man City,Newcastle,2,0,6,2,7,3,1.36,3.2,2020-21,0.7067905910293729,0.2932094089706271,2.6270590842827506,20.15676253684053,2.6397570742592382,15.358925760759803
Sheffield United,Everton,0,1,2,3,6,3,2.01,1.89,2020-21,0.482745675953203,0.517254324046797,14.156941602637453,4.8803462903570125,13.301351503106115,7.55088167640879
Leeds,Burnley,1,0,4,6,4,12,1.57,2.37,2020-21,0.6320179687452386,0.36798203125476137,15.598273903815976,13.029053897892224,14.450025017163311,11.439251236575197
West Ham,Brighton,2,2,4,4,5,4,1.99,1.91,2020-21,0.4812686064761299,0.5187313935238701,7.625193267541739,9.061717880530406,7.454895596950175,9.233172063592944
Liverpool,West Brom,1,1,2,3,8,3,1.36,3.2,2020-21,0.7098092464807786,0.2901907535192214,5.274658042988169,18.52563235704223,5.414938072247779,15.734096962253926
Wolves,Tottenham,1,1,6,3,9,2,2.2,1.66,2020-21,0.43405779357429713,0.5659422064257029,5.422074238550072,12.239671447481218,5.338069009030876,10.368060199136341
Crystal Palace,Leicester,1,1,1,3,2,5,1.9,1.9,2020-21,0.5094987751896781,0.4905012248103219,10.100480199878929,6.264324209834026,10.476968088867626,7.635148315053418
Chelsea,Aston Villa,1,1,5,2,11,4,1.53,2.5,2020-21,0.6484346262134248,0.35156537378657515,6.305846784234299,15.540032148726313,5.9040788325603595,14.78913230959161
Brighton,Arsenal,0,1,2,3,5,4,2.0,1.8,2020-21,0.4821378071885358,0.5178621928114642,6.106627396198486,10.405596342267307,6.017176082195896,9.098465625007112
Burnley,Sheffield United,1,0,3,3,3,5,2.37,1.57,2020-21,0.4115582524402484,0.5884417475597516,12.584914479873266,4.707275827366593,12.93648771349871,6.0978843860758785
Southampton,West Ham,0,0,3,3,4,3,1.94,1.96,2020-21,0.49456121672335174,0.5054387832766483,8.374999638945939,8.075042183029062,8.349008244953154,9.5029729203923
West Brom,Leeds,0,5,1,6,3,10,1.57,2.37,2020-21,0.6320494515814338,0.3679505484185662,13.737049440606146,3.0102738957892905,13.593590401461572,2.917507884422057
Man United,Wolves,1,0,3,5,2,2,1.96,1.94,2020-21,0.4999797729013181,0.5000202270986819,7.810899720793253,12.22587734535938,6.6167630869768805,11.941734672338976
Newcastle,Liverpool,0,0,2,4,5,12,1.5,2.62,2020-21,0.6510075438493542,0.3489924561506458,13.590396334004744,3.9829623176715456,13.355521706353906,5.98191272089049
Everton,West Ham,0,1,2,5,5,4,1.9,1.9,2020-21,0.49814812955334903,0.501851870446651,8.275240858213111,6.942357322783094,7.740524750073926,7.81503646121643
Man United,Aston Villa,2,1,9,5,5,10,1.53,2.5,2020-21,0.6441344027292009,0.35586559727079914,8.544908046105702,13.271821797818365,7.355069893550095,12.848131412760118
Tottenham,Leeds,3,0,7,5,3,5,1.44,2.75,2020-21,0.6824519868020543,0.3175480131979457,10.5254297478464,7.064852785623119,10.43250503063336,7.356944842309488
Crystal Palace,Sheffield United,2,0,4,2,3,6,2.3,1.61,2020-21,0.4169878440472847,0.5830121559527153,9.96454474848712,5.951216544768622,10.571571046946623,6.905568012428893
Brighton,Wolves,3,3,4,4,5,8,2.5,1.53,2020-21,0.381146235809544,0.618853764190456,7.019392321177331,10.585745698717544,6.697858327955481,9.582914315980261
West Brom,Arsenal,0,4,3,12,3,5,1.9,1.9,2020-21,0.5048897836582336,0.49511021634176644,14.87001116495857,2.4844251196215943,14.679509858371134,3.1154681761336973
Newcastle,Leicester,1,2,2,3,3,6,1.9,1.9,2020-21,0.504395009143022,0.49560499085697796,13.030715906535857,3.1447680109313825,12.932046638007767,5.5895857722606825
Chelsea,Man City,1,3,2,6,5,3,1.72,2.1,2020-21,0.5788822543323906,0.4211177456676094,5.887260128917617,14.68977323655473,5.047364550979063,14.426056072059248
Southampton,Liverpool,1,0,3,1,1,10,1.61,2.3,2020-21,0.6085642843482971,0.3914357156517029,8.100020337315618,7.1128555671953615,7.82920633660577,8.726836898325354
Sheffield United,Newcastle,1,0,4,3,5,2,2.5,1.53,2020-21,0.38314229297641855,0.6168577070235814,11.629873078321795,4.899871761895212,11.337043947661348,6.759224371612711
Burnley,Man United,0,1,0,7,3,4,1.72,2.1,2020-21,0.5679441685533118,0.43205583144668824,12.192795411062573,3.377336799492499,12.48922437032642,5.179319763591188
Wolves,Everton,1,2,3,3,6,5,2.37,1.57,2020-21,0.4011948172311951,0.5988051827688049,5.132641269135916,12.435266632489991,5.399105438725242,10.588693818125144
Man City,Brighton,1,0,6,1,8,4,1.5,2.62,2020-21,0.6462878911230384,0.3537121088769616,1.925368524251266,19.9207177595999,1.9942274426468682,15.632858787934119
Tottenham,Fulham,1,1,6,4,6,5,1.66,2.2,2020-21,0.5777398900924537,0.42226010990754625,10.607390197736098,7.80757807320812,10.485451302784634,8.135057006817318
Arsenal,Crystal Palace,0,0,4,2,7,3,1.9,1.9,2020-21,0.5061602792024048,0.4938397207975952,6.939489047641765,11.73365360079653,7.518953480303677,11.399260194736412
Wolves,West Brom,2,3,6,5,11,0,2.3,1.61,2020-21,0.4183573421329285,0.5816426578670715,5.332740456406666,14.281688488887859,5.624045927453582,11.496471193818024
Leeds,Brighton,0,1,2,2,5,2,1.61,2.3,2020-21,0.6161279776604819,0.3838720223395181,12.294024303514014,11.762674761631175,11.656287966224308,11.350480011499947
West Ham,Burnley,1,0,4,2,7,4,2.1,1.72,2020-21,0.45099505429435927,0.5490049457056407,7.267366042777344,9.31846662511519,7.189510668902693,8.846551159505388
Fulham,Chelsea,0,1,3,6,1,12,1.8,2.0,2020-21,0.5408656323208896,0.4591343676791104,11.542037407715515,6.1079383865924,11.039349197003967,6.32675210979313
Leicester,Southampton,2,0,5,3,2,5,1.9,1.9,2020-21,0.49821592748622,0.50178407251378,7.477190741981316,7.986887616529787,7.4074119150472,8.514679913428026
Sheffield United,Tottenham,1,3,5,5,5,7,2.0,1.8,2020-21,0.48095975563556614,0.5190402443644339,12.113598528927291,5.329687486465371,11.85307837466132,7.0391032085677505
Liverpool,Man United,0,0,3,4,7,3,1.66,2.2,2020-21,0.5963361876404931,0.4036638123595069,4.674191319112276,17.61085062220118,4.593589456469286,15.427256573831249
Man City,Crystal Palace,4,0,6,0,11,1,1.5,2.62,2020-21,0.6434348705386311,0.35656512946136887,1.1941238226599826,21.301060633544477,1.4125685407601083,16.51809652039776
Arsenal,Newcastle,3,0,6,1,7,2,1.8,2.0,2020-21,0.5334359013252516,0.46656409867474835,6.285705557841097,12.504334072600345,7.088160295786748,11.563174069668488
West Ham,West Brom,2,1,6,2,3,1,1.9,1.9,2020-21,0.5066240788390316,0.4933759211609684,6.74699650301219,9.488883966569762,6.771662242836484,8.152385615291887
Leicester,Chelsea,2,0,6,5,6,3,1.9,1.9,2020-21,0.5103014200939813,0.4896985799060187,6.675142146731298,8.969822118332594,6.610731593224686,9.59967455053312
Man City,Aston Villa,2,0,9,4,16,2,1.44,2.75,2020-21,0.6871442660451726,0.31285573395482735,0.5554433958736499,24.41768262288458,0.7010605966309219,19.169647659108133
Fulham,Man United,1,2,5,5,2,8,1.72,2.1,2020-21,0.5636130965889449,0.4363869034110551,11.80519306743255,5.748458346081606,11.321814384064515,6.400481208680729
Liverpool,Burnley,0,1,6,4,12,0,1.53,2.5,2020-21,0.6332854917466839,0.3667145082533161,4.468174985923209,19.18656568085552,4.575935336826149,16.302118076092523
Aston Villa,Newcastle,2,0,5,1,5,4,1.66,2.2,2020-21,0.594870221229625,0.40512977877037504,10.393148322486256,15.590346762676061,10.864144472580934,14.883303248633954
Crystal Palace,West Ham,2,3,3,7,3,4,2.2,1.66,2020-21,0.4304786477562922,0.5695213522437078,10.908775443631374,4.336933951162458,11.474281109493534,5.781485021708
Newcastle,Leeds,1,2,5,2,9,5,1.66,2.2,2020-21,0.5851297944097124,0.41487020559028764,10.956949639715786,3.2780031755017163,11.016732057797721,4.980176487354171
Southampton,Arsenal,1,3,5,5,4,5,1.8,2.0,2020-21,0.5327611194301237,0.4672388805698763,7.896555062725547,7.670592042679344,7.559375630148148,9.024011589404406
West Brom,Man City,0,5,1,7,3,8,1.57,2.37,2020-21,0.6255217805706561,0.3744782194293439,14.37533293894258,1.2156016418812554,13.919518542683983,3.328016283534312
Burnley,Aston Villa,3,2,5,10,2,4,1.9,1.9,2020-21,0.5220009713470679,0.4779990286529321,13.081792990844926,3.2199973807877393,13.256359860782592,4.808435904624483
Chelsea,Wolves,0,0,5,0,13,1,1.9,1.9,2020-21,0.5194961618624784,0.4805038381375216,4.746765789940106,16.899791644708888,3.8188017611044005,16.532119744148897
Brighton,Fulham,0,0,5,3,10,0,2.2,1.66,2020-21,0.43201757119043926,0.5679824288095607,5.6733347705831285,10.038986753872106,6.108813731147938,8.981526249352124
Everton,Leicester,1,1,2,6,5,11,2.0,1.8,2020-21,0.47307026574504624,0.5269297342549537,9.833153111180854,7.310580344910313,9.539950936720752,8.067162493597337
Man United,Sheffield United,1,2,4,3,7,2,1.66,2.2,2020-21,0.5840086829416418,0.41599131705835823,6.618908665309494,12.953706203492821,6.3128078666927,12.116407553981784
Tottenham,Liverpool,1,3,2,7,1,2,1.8,2.0,2020-21,0.5514101314239283,0.44858986857607175,10.074133874205902,6.895868562718003,9.488191853229344,7.807152637982542
Everton,Newcastle,0,2,3,3,7,12,2.0,1.8,2020-21,0.47375348721247806,0.526246512787522,11.567759417765782,7.670309512453694,11.366075955719635,8.170880831956685
Crystal Palace,Wolves,1,0,2,4,1,6,2.5,1.53,2020-21,0.38520306804528287,0.6147969319547171,10.815479826250513,3.2163067781493915,11.095576775712459,5.037546000678558
Man City,Sheffield United,1,0,5,1,10,0,1.5,2.62,2020-21,0.6508180993502203,0.3491819006497797,0.521624173464213,23.91912986049882,0.6902353741480276,18.71538249029742
West Brom,Fulham,2,2,3,7,2,3,2.2,1.66,2020-21,0.4343907992786002,0.5656092007213998,14.364088019805369,0.6290733495203984,14.039587130082646,2.6550045676860803
Arsenal,Man United,0,0,3,3,4,7,1.8,2.0,2020-21,0.5427439100498263,0.45725608995017375,6.942585635269833,11.83296920701137,7.278622756668977,11.172546532637485
Southampton,Aston Villa,0,1,5,4,7,1,1.72,2.1,2020-21,0.5725752680242725,0.4274247319757275,6.436407824865238,8.67229636505666,6.1740656040391615,9.510374737462712
Chelsea,Burnley,2,0,8,0,4,2,1.72,2.1,2020-21,0.5656359494417639,0.4343640505582361,4.112256207588633,17.2745906244903,3.4958351495049618,15.935467484761018
Leicester,Leeds,1,3,8,7,6,4,1.57,2.37,2020-21,0.6259843373171461,0.3740156626828539,7.222430775600127,12.265665835614458,7.055605421347376,11.5186683235256
West Ham,Liverpool,1,3,2,5,6,5,1.66,2.2,2020-21,0.5852588031282838,0.4147411968717162,6.552920176054957,9.591153406423604,6.238544014087803,8.893296416287393
Brighton,Tottenham,1,0,5,4,9,2,2.08,1.82,2020-21,0.4578087181807296,0.5421912818192705,5.504234979264166,11.392733130273601,6.002035092273572,9.932139635760253
Sheffield United,West Brom,2,1,6,4,9,2,2.3,1.61,2020-21,0.4101493273079773,0.5898506726920227,10.956171491964215,6.167360807065613,11.568646334135948,7.074615639628053
Wolves,Arsenal,2,1,7,3,9,6,2.3,1.61,2020-21,0.4224044095707864,0.5775955904292136,6.574689903605113,13.239764270569403,6.439740452444494,11.446016400853615
Man United,Southampton,9,0,14,1,5,3,1.53,2.5,2020-21,0.6254036062516144,0.3745963937483856,5.138969647590644,15.1098118135406,5.222913044718891,14.277063236145093
Newcastle,Crystal Palace,1,2,5,3,9,1,2.3,1.61,2020-21,0.4098022554602915,0.5901977445397085,10.230610379651067,6.685528672969999,10.435156952948569,7.618023626225055
Burnley,Man City,0,2,0,6,1,3,1.66,2.2,2020-21,0.5888889925235201,0.4111110074764799,10.860996512338037,1.3042095641045535,10.707332918743218,3.9640720429314507
Fulham,Leicester,0,2,1,5,5,2,2.0,1.8,2020-21,0.4852526218442985,0.5147473781557015,11.347463626844387,4.527268788446439,10.75101494809797,5.613932032760706
Leeds,Everton,1,2,7,6,7,1,1.66,2.2,2020-21,0.5988848863166382,0.40111511368336183,13.385826314632386,11.568597088301697,12.547758568678594,11.496494317635879
Aston Villa,West Ham,1,3,2,10,7,3,1.72,2.1,2020-21,0.5720045760665751,0.42799542393342493,11.805139634953646,13.089319244164875,11.67200943674826,13.39296161515676
Liverpool,Brighton,0,1,1,4,6,3,1.66,2.2,2020-21,0.585767166693434,0.414232833306566,3.977266467196171,16.343953287196367,4.059369498392154,14.446141289188708
Tottenham,Chelsea,0,1,2,2,2,7,1.9,1.9,2020-21,0.5150880106378571,0.48491198936214286,10.009599022410061,5.722400767297988,9.398256818310113,7.259888911743977
